subject,date,startTime,endTime,rooms,note
Интерактивни апликации/ Шаблони за дизајн на кориснички интерфејси,08.06.2026,08:00,,лаб. 2,
Дистрибуирани системи,08.06.2026,08:00,,117,
Администрација на системи,08.06.2026,09:30,,117,
Дизајн на дигитални кола,08.06.2026,13:00,,лаб. 2,
Програмирање на видео игри,08.06.2026,13:00,,лаб. 13,
Дизајн и архитектура на софтвер,08.06.2026,16:30,,лаб. 3,
Мултимедијални технологии,08.06.2026,16:30,,лаб. 200a,
Вовед во информатика / Introduction to computing/ Вовед во компјутерски науки,09.06.2026,08:00,,лаб. 2,
Вовед во информатика / Introduction to computing/ Вовед во компјутерски науки,09.06.2026,11:30,,лаб. 2,
Компјутерски мрежи,09.06.2026,11:30,,лаб. 200a,
Напредно програмирање,09.06.2026,14:00,,"лаб. 2, лаб. 200a",
Мобилни платформи и програмирање,09.06.2026,14:00,,лаб. 215,
Физика,10.06.2026,08:00,,Б2.2,
Веројатност и статистика,10.06.2026,09:00,,лаб. 2,
Математика 3,10.06.2026,12:00,,лаб. 2,
Паралелно и дистрибуирано процесирање,10.06.2026,12:30,,АМФ ФИНКИ Г,
Напредна интеракција човек компјутер,10.06.2026,15:30,,лаб. 2,
Мобилни информациски системи,10.06.2026,15:30,,117,
Бази на податоци,11.06.2026,08:00,,лаб. 2,
Резервирано,11.06.2026,08:00,,315,
ФЕИТ 223 зафатена,11.06.2026,14:00,,Електро/ Машински,
Вовед во биоинформатика,11.06.2026,16:00,,лаб. 2,
Бизнис и менаџмент,11.06.2026,16:00,,лаб. 13,
Имплементација на софтверски системи со слободен и отворен код,11.06.2026,19:00,,лаб. 13,
Избрани теми од математика/Дискретна математика - ПИТ,12.06.2026,08:00,,лаб. 2,
Резервирано,12.06.2026,08:00,,315,
Калкулус 1 (112),12.06.2026,13:00,,Електро/ Машински,
Напреден веб дизајн,12.06.2026,14:30,,лаб. 2,
Тестирање на софтвер,12.06.2026,18:00,,лаб. 2,
Веб базирани системи,12.06.2026,18:00,,"лаб. 13, 117",
Економија за ИКТ инженери,12.06.2026,18:00,,лаб. 215,
Основи на роботиката,12.06.2026,18:00,,Б3.2,
Компјутерски мрежи и безбедност,13.06.2026,08:00,,лаб. 2,
Дизајн на образовен софтвер,13.06.2026,11:00,,АМФ ФИНКИ Г,
Алгоритми и податочни структури / Примена на алгоритми и податочни структури,15.06.2026,08:00,,лаб. 2,
Mathematics 1,15.06.2026,09:00,,Б1,
ФЕИТ 223 зафатена,15.06.2026,09:00,,Електро/ Машински,
Дискретни структури 1,15.06.2026,10:00,,Б2.2,
Анализа и дизајн на ИС,15.06.2026,12:30,,315,
Сајбер безбедност/ Мрежна безбедност,15.06.2026,14:30,,лаб. 2,
Калкулус/ Математика 1,15.06.2026,14:30,,лаб. 13,
Методологија на истражувањето во ИКТ,15.06.2026,14:30,,Б2.2,
"Калкулус/ Математика 1(223, 224, 225, 310, АМФ МФ)",15.06.2026,16:30,,315,
Веб програмирање,15.06.2026,17:00,,лаб. 2,
Структурно програмирање,16.06.2026,08:00,,лаб. 2,
Основи на теоријата на информации,16.06.2026,09:00,,АМФ ФИНКИ Г,
Линеарна алгебра и примени,16.06.2026,12:30,,Б3.2,
"Structured programming, international students",16.06.2026,14:00,,117,
Дигитизација,16.06.2026,16:00,,лаб. 2,
Управување со техничка поддршка,16.06.2026,19:00,,"лаб. 2, лаб. 200a",
Менаџмент информациски системи,16.06.2026,19:00,,лаб. 3,
Компјутерска етика,16.06.2026,19:00,,117,
Интернет програмирање на клиентска страна,17.06.2026,08:00,,лаб. 2,
Објектно ориентирано програмирање,17.06.2026,08:00,,лаб. 3,
Вовед во когнитивни науки,17.06.2026,08:00,,Б2.2,
ФЕИТ 223 зафатена,17.06.2026,09:00,,Електро/ Машински,
Учење на далечина,17.06.2026,09:30,,АМФ ФИНКИ ГОЛЕМ,
Вовед во науката за податоци,17.06.2026,13:30,,лаб. 2,
Визуелно програмирање,17.06.2026,17:00,,лаб. 13,
Администрација на мрежи,17.06.2026,17:00,,лаб. 117,
Претприемништво,17.06.2026,17:00,,АМФ ФИНКИ ГОЛЕМ,
Медиуми и комуникации,17.06.2026,18:30,,АМФ ФИНКИ ГОЛЕМ,
Машинско учење,17.06.2026,19:00,,лаб. 2,
Е-влада,17.06.2026,19:00,,лаб. 215,
Компјутерска графика,18.06.2026,08:00,,лаб. 2,
Дизајн на интеракција човек компјутер,18.06.2026,08:00,,лаб. 12,
Основи на веб дизајн,18.06.2026,08:00,,лаб. 3,
Калкулус 2,18.06.2026,10:00,,АМФ ФИНКИ ГОЛЕМ,
Управување со ИКТ проекти/ ICT Project Management,18.06.2026,11:30,,"лаб. 138, лаб. 117",
Неструктурирани бази на податоци,18.06.2026,13:00,,Б3.2,
Мултимедиски системи,18.06.2026,13:30,,"лаб. 200a, лаб. 117",
Континуирана интеграција и испорака,18.06.2026,13:30,,"лаб. 13, лаб. 215",
Безжични и мобилни системи,18.06.2026,14:00,,лаб. 13,
Креативни вештини за решавање проблеми,18.06.2026,14:00,,АМФ ФИНКИ ГОЛЕМ,
Вештачка интелигенција,18.06.2026,15:30,,лаб. 3,
Основи на сајбер безбедност,18.06.2026,16:00,,лаб. 215,
Формални јазици и автомати / Основи на теоријата на компјутерските науки,18.06.2026,17:00,,315,
Дизајн на алгоритми / Алгоритми и сложеност,18.06.2026,18:00,,лаб. 12,
